model,category,task,metric,value
Mixtral-8x22B-Instruct-v0.1,language,connections,accuracy,0.2516666666666667
Mixtral-8x22B-Instruct-v0.1,language,plot_unscrambling,score,0.2826641133758614
Mixtral-8x22B-Instruct-v0.1,language,typos,accuracy,0.26
Mixtral-8x7B-Instruct-v0.1,coding,LCB_generation,pass@1,0.2
Mixtral-8x7B-Instruct-v0.1,coding,coding_completion,pass@1,0.02631578947368421
Mixtral-8x7B-Instruct-v0.1,instruction_following,story_generation,combined_score,0.578525641025641
Mixtral-8x7B-Instruct-v0.1,language,connections,accuracy,0.15
Mixtral-8x7B-Instruct-v0.1,language,plot_unscrambling,score,0.16283909913143693
Mixtral-8x7B-Instruct-v0.1,language,typos,accuracy,0.1
OpenHermes-2.5-Mistral-7B,coding,LCB_generation,pass@1,0.20512820512820512
OpenHermes-2.5-Mistral-7B,coding,coding_completion,pass@1,0.06
OpenHermes-2.5-Mistral-7B,instruction_following,story_generation,combined_score,0.6634615384615384
OpenHermes-2.5-Mistral-7B,language,connections,accuracy,0.01
OpenHermes-2.5-Mistral-7B,language,plot_unscrambling,score,0.15105233678094537
OpenHermes-2.5-Mistral-7B,language,typos,accuracy,0.18
Phi-3-medium-128k-instruct,coding,LCB_generation,pass@1,0.28205128205128205
Phi-3-medium-128k-instruct,coding,coding_completion,pass@1,0.16
Phi-3-medium-128k-instruct,instruction_following,story_generation,combined_score,0.7275641025641026
Phi-3-medium-128k-instruct,language,connections,accuracy,0.095
Phi-3-medium-128k-instruct,language,plot_unscrambling,score,0.14769906946658495
Phi-3-medium-128k-instruct,language,typos,accuracy,0.14
Phi-3-medium-4k-instruct,coding,LCB_generation,pass@1,0.2692307692307692
Phi-3-medium-4k-instruct,coding,coding_completion,pass@1,0.14
Phi-3-medium-4k-instruct,instruction_following,story_generation,combined_score,0.5352564102564102
Phi-3-medium-4k-instruct,language,connections,accuracy,0.14
Phi-3-medium-4k-instruct,language,plot_unscrambling,score,0.15727074826196613
Phi-3-medium-4k-instruct,language,typos,accuracy,0.12
Phi-3-mini-128k-instruct,coding,LCB_generation,pass@1,0.23076923076923078
Phi-3-mini-128k-instruct,coding,coding_completion,pass@1,0.07
Phi-3-mini-128k-instruct,instruction_following,story_generation,combined_score,0.5480769230769231
Phi-3-mini-128k-instruct,language,connections,accuracy,0.02
Phi-3-mini-128k-instruct,language,plot_unscrambling,score,0.11293762329071597
Phi-3-mini-128k-instruct,language,typos,accuracy,0.1
Phi-3-mini-4k-instruct,coding,LCB_generation,pass@1,0.23076923076923078
Phi-3-mini-4k-instruct,coding,coding_completion,pass@1,0.08
Phi-3-mini-4k-instruct,instruction_following,story_generation,combined_score,0.6538461538461539
Phi-3-mini-4k-instruct,language,connections,accuracy,0.03
Phi-3-mini-4k-instruct,language,plot_unscrambling,score,0.13176517424845974
Phi-3-mini-4k-instruct,language,typos,accuracy,0.08
Phi-3-small-128k-instruct,coding,LCB_generation,pass@1,0.3113207547169811
Phi-3-small-128k-instruct,coding,coding_completion,pass@1,0.18
Phi-3-small-128k-instruct,instruction_following,story_generation,combined_score,0.7419871794871795
Phi-3-small-128k-instruct,language,connections,accuracy,0.12833333333333333
Phi-3-small-128k-instruct,language,plot_unscrambling,score,0.13762692267514276
Phi-3-small-128k-instruct,language,typos,accuracy,0.2
Phi-3-small-8k-instruct,coding,LCB_generation,pass@1,0.24528301886792453
Phi-3-small-8k-instruct,coding,coding_completion,pass@1,0.16
Phi-3-small-8k-instruct,instruction_following,story_generation,combined_score,0.6923076923076923
Phi-3-small-8k-instruct,language,connections,accuracy,0.195
Phi-3-small-8k-instruct,language,plot_unscrambling,score,0.15887940574148662
Phi-3-small-8k-instruct,language,typos,accuracy,0.1
Phi-3.5-MoE-instruct,coding,LCB_generation,pass@1,0.2948717948717949
Phi-3.5-MoE-instruct,coding,coding_completion,pass@1,0.14
Phi-3.5-MoE-instruct,instruction_following,story_generation,combined_score,0.6282051282051282
Phi-3.5-MoE-instruct,language,connections,accuracy,0.11
Phi-3.5-MoE-instruct,language,plot_unscrambling,score,0.14215079091916002
Phi-3.5-MoE-instruct,language,typos,accuracy,0.26
Phi-3.5-mini-instruct,coding,LCB_generation,pass@1,0.21794871794871795
Phi-3.5-mini-instruct,coding,coding_completion,pass@1,0.1
Phi-3.5-mini-instruct,instruction_following,story_generation,combined_score,0.7115384615384616
Phi-3.5-mini-instruct,language,connections,accuracy,0.051666666666666666
Phi-3.5-mini-instruct,language,plot_unscrambling,score,0.1183216890375149
Phi-3.5-mini-instruct,language,typos,accuracy,0.12
QwQ-32B-Preview,coding,LCB_generation,pass@1,0.5641025641025641
QwQ-32B-Preview,coding,coding_completion,pass@1,0.18
QwQ-32B-Preview,instruction_following,paraphrase,combined_score,0.3678333333333333
QwQ-32B-Preview,language,connections,accuracy,0.275
QwQ-32B-Preview,language,plot_unscrambling,score,0.23330905892156673
QwQ-32B-Preview,language,typos,accuracy,0.2
Qwen1.5-0.5B-Chat,coding,LCB_generation,pass@1,0.0
Qwen1.5-0.5B-Chat,coding,coding_completion,pass@1,0.0
Qwen1.5-0.5B-Chat,instruction_following,story_generation,combined_score,0.2644230769230769
Qwen1.5-0.5B-Chat,language,connections,accuracy,0.0
Qwen1.5-0.5B-Chat,language,plot_unscrambling,score,0.08633023816673879
Qwen1.5-0.5B-Chat,language,typos,accuracy,0.0
Qwen1.5-1.8B-Chat,coding,LCB_generation,pass@1,0.0
Qwen1.5-1.8B-Chat,coding,coding_completion,pass@1,0.0
Qwen1.5-1.8B-Chat,instruction_following,story_generation,combined_score,0.29967948717948717
Qwen1.5-1.8B-Chat,language,connections,accuracy,0.0
Qwen1.5-1.8B-Chat,language,plot_unscrambling,score,0.09467053404185939
Qwen1.5-1.8B-Chat,language,typos,accuracy,0.0
Qwen1.5-110B-Chat,coding,LCB_generation,pass@1,0.2564102564102564
Qwen1.5-110B-Chat,coding,coding_completion,pass@1,0.18
Qwen1.5-110B-Chat,instruction_following,story_generation,combined_score,0.5512820512820513
Qwen1.5-110B-Chat,language,connections,accuracy,0.2033333333333333
Qwen1.5-110B-Chat,language,plot_unscrambling,score,0.15339667833270546
Qwen1.5-110B-Chat,language,typos,accuracy,0.04
Qwen1.5-4B-Chat,coding,LCB_generation,pass@1,0.08974358974358974
Qwen1.5-4B-Chat,coding,coding_completion,pass@1,0.0
Qwen1.5-4B-Chat,instruction_following,story_generation,combined_score,0.36217948717948717
Qwen1.5-4B-Chat,language,connections,accuracy,0.0
Qwen1.5-4B-Chat,language,plot_unscrambling,score,0.09395117866775
Qwen1.5-4B-Chat,language,typos,accuracy,0.08
Qwen1.5-72B-Chat,coding,LCB_generation,pass@1,0.2564102564102564
Qwen1.5-72B-Chat,coding,coding_completion,pass@1,0.2
Qwen1.5-72B-Chat,instruction_following,story_generation,combined_score,0.7339743589743589
Qwen1.5-72B-Chat,language,connections,accuracy,0.04166666666666667
Qwen1.5-72B-Chat,language,plot_unscrambling,score,0.1793767855791804
Qwen1.5-72B-Chat,language,typos,accuracy,0.12
Qwen1.5-7B-Chat,coding,LCB_generation,pass@1,0.1282051282051282
Qwen1.5-7B-Chat,coding,coding_completion,pass@1,0.06
Qwen1.5-7B-Chat,instruction_following,story_generation,combined_score,0.49038461538461536
Qwen1.5-7B-Chat,language,connections,accuracy,0.035
Qwen1.5-7B-Chat,language,plot_unscrambling,score,0.11045200681256935
Qwen1.5-7B-Chat,language,typos,accuracy,0.04
Qwen2-0.5B-Instruct,coding,LCB_generation,pass@1,0.02564102564102564
Qwen2-0.5B-Instruct,coding,coding_completion,pass@1,0.0
Qwen2-0.5B-Instruct,instruction_following,story_generation,combined_score,0.34294871794871795
Qwen2-0.5B-Instruct,language,connections,accuracy,0.0
Qwen2-0.5B-Instruct,language,plot_unscrambling,score,0.08415001609196684
Qwen2-0.5B-Instruct,language,typos,accuracy,0.0
Qwen2-1.5B-Instruct,coding,LCB_generation,pass@1,0.0641025641025641
Qwen2-1.5B-Instruct,coding,coding_completion,pass@1,0.04
Qwen2-1.5B-Instruct,instruction_following,story_generation,combined_score,0.41506410256410253
Qwen2-1.5B-Instruct,language,connections,accuracy,0.0
Qwen2-1.5B-Instruct,language,plot_unscrambling,score,0.091447129644625
Qwen2-1.5B-Instruct,language,typos,accuracy,0.0
Qwen2-72B-Instruct,coding,LCB_generation,pass@1,0.3076923076923077
Qwen2-72B-Instruct,coding,coding_completion,pass@1,0.34
Qwen2-72B-Instruct,instruction_following,story_generation,combined_score,0.8541666666666666
Qwen2-72B-Instruct,language,connections,accuracy,0.34
Qwen2-72B-Instruct,language,plot_unscrambling,score,0.33640791743962445
Qwen2-72B-Instruct,language,typos,accuracy,0.2
Qwen2-7B-Instruct,coding,LCB_generation,pass@1,0.358974358974359
Qwen2-7B-Instruct,coding,coding_completion,pass@1,0.22
Qwen2-7B-Instruct,instruction_following,story_generation,combined_score,0.46153846153846156
Qwen2-7B-Instruct,language,connections,accuracy,0.1
Qwen2-7B-Instruct,language,plot_unscrambling,score,0.14624777996136729
Qwen2-7B-Instruct,language,typos,accuracy,0.06
Qwen2.5-72B-Instruct-Turbo,coding,LCB_generation,pass@1,0.5128205128205128
Qwen2.5-72B-Instruct-Turbo,coding,coding_completion,pass@1,0.64
Qwen2.5-72B-Instruct-Turbo,instruction_following,paraphrase,combined_score,0.6551666666666667
Qwen2.5-72B-Instruct-Turbo,instruction_following,story_generation,combined_score,0.9150641025641026
Qwen2.5-72B-Instruct-Turbo,language,connections,accuracy,0.33166666666666667
Qwen2.5-72B-Instruct-Turbo,language,plot_unscrambling,score,0.37146929000255857
Qwen2.5-72B-Instruct-Turbo,language,typos,accuracy,0.38
Qwen2.5-7B-Instruct-Turbo,coding,LCB_generation,pass@1,0.3974358974358974
Qwen2.5-7B-Instruct-Turbo,coding,coding_completion,pass@1,0.37
Qwen2.5-7B-Instruct-Turbo,instruction_following,paraphrase,combined_score,0.506
Qwen2.5-7B-Instruct-Turbo,instruction_following,story_generation,combined_score,0.7227564102564104
Qwen2.5-7B-Instruct-Turbo,language,connections,accuracy,0.12166666666666666
Qwen2.5-7B-Instruct-Turbo,language,plot_unscrambling,score,0.1588911541802058
Qwen2.5-7B-Instruct-Turbo,language,typos,accuracy,0.18
Qwen2.5-Coder-32B-Instruct,coding,LCB_generation,pass@1,0.5769230769230769
Qwen2.5-Coder-32B-Instruct,coding,coding_completion,pass@1,0.56
Qwen2.5-Coder-32B-Instruct,instruction_following,paraphrase,combined_score,0.5633333333333334
Qwen2.5-Coder-32B-Instruct,instruction_following,story_generation,combined_score,0.8125
Qwen2.5-Coder-32B-Instruct,language,connections,accuracy,0.2316666666666667
Qwen2.5-Coder-32B-Instruct,language,plot_unscrambling,score,0.26236200110735464
Qwen2.5-Coder-32B-Instruct,language,typos,accuracy,0.26
Reflection-Llama-3.1-70B,coding,LCB_generation,pass@1,0.28205128205128205
Reflection-Llama-3.1-70B,coding,coding_completion,pass@1,0.06
Reflection-Llama-3.1-70B,instruction_following,story_generation,combined_score,0.5737179487179487
Reflection-Llama-3.1-70B,language,connections,accuracy,0.2733333333333333
Reflection-Llama-3.1-70B,language,plot_unscrambling,score,0.32039376010045195
Reflection-Llama-3.1-70B,language,typos,accuracy,0.42
Smaug-Qwen2-72B-Instruct,coding,LCB_generation,pass@1,0.25
Smaug-Qwen2-72B-Instruct,coding,coding_completion,pass@1,0.5
Starling-LM-7B-beta,coding,LCB_generation,pass@1,0.2692307692307692
Starling-LM-7B-beta,coding,coding_completion,pass@1,0.1
Starling-LM-7B-beta,instruction_following,story_generation,combined_score,0.41185897435897434
Starling-LM-7B-beta,language,connections,accuracy,0.045
Starling-LM-7B-beta,language,plot_unscrambling,score,0.1329300955802522
Starling-LM-7B-beta,language,typos,accuracy,0.1
Yi-6B-Chat,coding,LCB_generation,pass@1,0.0
Yi-6B-Chat,coding,coding_completion,pass@1,0.04
Yi-6B-Chat,instruction_following,story_generation,combined_score,0.4631410256410256
Yi-6B-Chat,language,connections,accuracy,0.0
Yi-6B-Chat,language,plot_unscrambling,score,0.10067400820869495
Yi-6B-Chat,language,typos,accuracy,0.04
acm_rewrite_qwen2-72B-Chat,coding,LCB_generation,pass@1,0.36
acm_rewrite_qwen2-72B-Chat,coding,coding_completion,pass@1,0.42105263157894735
acm_rewrite_qwen2-72B-Chat,instruction_following,story_generation,combined_score,0.7772435897435896
acm_rewrite_qwen2-72B-Chat,language,connections,accuracy,0.28
acm_rewrite_qwen2-72B-Chat,language,plot_unscrambling,score,0.3009016705711437
acm_rewrite_qwen2-72B-Chat,language,typos,accuracy,0.32
amazon.nova-lite-v1:0,coding,LCB_generation,pass@1,0.2692307692307692
amazon.nova-lite-v1:0,coding,coding_completion,pass@1,0.28
amazon.nova-lite-v1:0,instruction_following,paraphrase,combined_score,0.5710000000000001
amazon.nova-lite-v1:0,language,connections,accuracy,0.19
amazon.nova-lite-v1:0,language,plot_unscrambling,score,0.20274224044596603
amazon.nova-lite-v1:0,language,typos,accuracy,0.41
amazon.nova-micro-v1:0,coding,LCB_generation,pass@1,0.24358974358974358
amazon.nova-micro-v1:0,coding,coding_completion,pass@1,0.16
amazon.nova-micro-v1:0,instruction_following,paraphrase,combined_score,0.41200000000000003
amazon.nova-micro-v1:0,language,connections,accuracy,0.11
amazon.nova-micro-v1:0,language,plot_unscrambling,score,0.1480283781519947
amazon.nova-micro-v1:0,language,typos,accuracy,0.34
amazon.nova-pro-v1:0,coding,LCB_generation,pass@1,0.4230769230769231
amazon.nova-pro-v1:0,coding,coding_completion,pass@1,0.34
amazon.nova-pro-v1:0,instruction_following,paraphrase,combined_score,0.7013333333333334
amazon.nova-pro-v1:0,language,connections,accuracy,0.2383333333333333
amazon.nova-pro-v1:0,language,plot_unscrambling,score,0.3078974014145139
amazon.nova-pro-v1:0,language,typos,accuracy,0.59
azerogpt,coding,LCB_generation,pass@1,0.3076923076923077
azerogpt,coding,coding_completion,pass@1,0.32
azerogpt,instruction_following,paraphrase,combined_score,0.6104999999999999
azerogpt,language,connections,accuracy,0.19666666666666666
azerogpt,language,plot_unscrambling,score,0.26149711059551295
azerogpt,language,typos,accuracy,0.34
chatgpt-4o-latest-2025-01-29,coding,LCB_generation,pass@1,0.5512820512820513
chatgpt-4o-latest-2025-01-29,coding,coding_completion,pass@1,0.66
chatgpt-4o-latest-2025-01-29,instruction_following,paraphrase,combined_score,0.6611666666666666
chatgpt-4o-latest-2025-01-29,language,connections,accuracy,0.5216666666666666
chatgpt-4o-latest-2025-01-29,language,plot_unscrambling,score,0.4389769607539164
chatgpt-4o-latest-2025-01-29,language,typos,accuracy,0.53
chatgpt-4o-latest-2025-01-30,coding,LCB_generation,pass@1,0.47435897435897434
chatgpt-4o-latest-2025-01-30,coding,coding_completion,pass@1,0.48
chatgpt-4o-latest-2025-01-30,instruction_following,paraphrase,combined_score,0.6388333333333334
chatgpt-4o-latest-2025-01-30,language,connections,accuracy,0.42166666666666663
chatgpt-4o-latest-2025-01-30,language,plot_unscrambling,score,0.43640631768789395
chatgpt-4o-latest-2025-01-30,language,typos,accuracy,0.58
chatgpt-4o-latest-2025-03-27,coding,LCB_generation,pass@1,0.6794871794871795
chatgpt-4o-latest-2025-03-27,coding,coding_completion,pass@1,0.62
chatgpt-4o-latest-2025-03-27,instruction_following,paraphrase,combined_score,0.7296666666666667
chatgpt-4o-latest-2025-03-27,instruction_following,story_generation,combined_score,0.8076923076923077
chatgpt-4o-latest-2025-03-27,language,connections,accuracy,0.45666666666666667
chatgpt-4o-latest-2025-03-27,language,plot_unscrambling,score,0.43709435498112553
chatgpt-4o-latest-2025-03-27,language,typos,accuracy,0.64
claude-3-5-haiku-20241022,coding,LCB_generation,pass@1,0.48717948717948717
claude-3-5-haiku-20241022,coding,coding_completion,pass@1,0.54
claude-3-5-haiku-20241022,instruction_following,paraphrase,combined_score,0.5921666666666667
claude-3-5-haiku-20241022,instruction_following,story_generation,combined_score,0.7836538461538461
claude-3-5-haiku-20241022,language,connections,accuracy,0.315
claude-3-5-haiku-20241022,language,plot_unscrambling,score,0.28947456502521124
claude-3-5-haiku-20241022,language,typos,accuracy,0.57
claude-3-5-opus-20240229,language,plot_unscrambling,score,0.02830940988835723
claude-3-5-opus-20240229,language,typos,accuracy,0.0
claude-3-5-sonnet-20240620,coding,LCB_generation,pass@1,0.5769230769230769
claude-3-5-sonnet-20240620,coding,coding_completion,pass@1,0.64
claude-3-5-sonnet-20240620,instruction_following,paraphrase,combined_score,0.6793333333333333
claude-3-5-sonnet-20240620,instruction_following,story_generation,combined_score,0.7580128205128205
claude-3-5-sonnet-20240620,language,connections,accuracy,0.44083333333333335
claude-3-5-sonnet-20240620,language,plot_unscrambling,score,0.551438854359075
claude-3-5-sonnet-20240620,language,typos,accuracy,0.66
claude-3-5-sonnet-20241022,coding,LCB_generation,pass@1,0.6025641025641025
claude-3-5-sonnet-20241022,coding,coding_completion,pass@1,0.74
claude-3-5-sonnet-20241022,instruction_following,paraphrase,combined_score,0.6679999999999999
claude-3-5-sonnet-20241022,instruction_following,story_generation,combined_score,0.7371794871794872
claude-3-5-sonnet-20241022,language,connections,accuracy,0.49666666666666665
claude-3-5-sonnet-20241022,language,plot_unscrambling,score,0.5197434202640155
claude-3-5-sonnet-20241022,language,typos,accuracy,0.67
claude-3-7-sonnet-20250219-base,coding,LCB_generation,pass@1,0.5897435897435898
claude-3-7-sonnet-20250219-base,coding,coding_completion,pass@1,0.76
claude-3-7-sonnet-20250219-base,instruction_following,paraphrase,combined_score,0.7788333333333333
claude-3-7-sonnet-20250219-base,language,connections,accuracy,0.5583333333333333
claude-3-7-sonnet-20250219-base,language,plot_unscrambling,score,0.5583302412203218
claude-3-7-sonnet-20250219-base,language,typos,accuracy,0.68
claude-3-7-sonnet-20250219-thinking-25k,coding,LCB_generation,pass@1,0.7307692307692307
claude-3-7-sonnet-20250219-thinking-25k,coding,coding_completion,pass@1,0.7
claude-3-7-sonnet-20250219-thinking-25k,instruction_following,paraphrase,combined_score,0.8315
claude-3-7-sonnet-20250219-thinking-25k,language,connections,accuracy,0.7016666666666667
claude-3-7-sonnet-20250219-thinking-25k,language,plot_unscrambling,score,0.5472094123319966
claude-3-7-sonnet-20250219-thinking-25k,language,typos,accuracy,0.58
claude-3-7-sonnet-20250219-thinking-64k,coding,LCB_generation,pass@1,0.7307692307692307
claude-3-7-sonnet-20250219-thinking-64k,coding,coding_completion,pass@1,0.76
claude-3-7-sonnet-20250219-thinking-64k,instruction_following,paraphrase,combined_score,0.8568333333333333
claude-3-7-sonnet-20250219-thinking-64k,language,connections,accuracy,0.7133333333333333
claude-3-7-sonnet-20250219-thinking-64k,language,plot_unscrambling,score,0.5591054807196334
claude-3-7-sonnet-20250219-thinking-64k,language,typos,accuracy,0.65
claude-3-haiku-20240307,coding,LCB_generation,pass@1,0.2692307692307692
claude-3-haiku-20240307,coding,coding_completion,pass@1,0.22
claude-3-haiku-20240307,instruction_following,paraphrase,combined_score,0.5291666666666667
claude-3-haiku-20240307,instruction_following,story_generation,combined_score,0.6105769230769231
claude-3-haiku-20240307,language,connections,accuracy,0.1708333333333333
claude-3-haiku-20240307,language,plot_unscrambling,score,0.23720210628701294
claude-3-haiku-20240307,language,typos,accuracy,0.48
claude-3-opus-20240229,coding,LCB_generation,pass@1,0.3717948717948718
claude-3-opus-20240229,coding,coding_completion,pass@1,0.4
claude-3-opus-20240229,instruction_following,paraphrase,combined_score,0.6395000000000001
claude-3-opus-20240229,instruction_following,story_generation,combined_score,0.6730769230769231
claude-3-opus-20240229,language,connections,accuracy,0.35
claude-3-opus-20240229,language,plot_unscrambling,score,0.4769531718788148
claude-3-opus-20240229,language,typos,accuracy,0.75
claude-3-sonnet-20240229,coding,LCB_generation,pass@1,0.3076923076923077
claude-3-sonnet-20240229,coding,coding_completion,pass@1,0.22
claude-3-sonnet-20240229,instruction_following,story_generation,combined_score,0.6362179487179488
claude-3-sonnet-20240229,language,connections,accuracy,0.26166666666666666
claude-3-sonnet-20240229,language,plot_unscrambling,score,0.34083249112128633
claude-3-sonnet-20240229,language,typos,accuracy,0.54
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,coding,LCB_generation,pass@1,0.5128205128205128
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,coding,coding_completion,pass@1,0.62
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,instruction_following,story_generation,combined_score,0.9214743589743589
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,language,connections,accuracy,0.38666666666666666
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,language,plot_unscrambling,score,0.34769998732284846
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,language,typos,accuracy,0.38
coding-meta-llama-3.1-70b-instruct-chk-50,coding,LCB_generation,pass@1,0.38461538461538464
coding-meta-llama-3.1-70b-instruct-chk-50,coding,coding_completion,pass@1,0.32
coding-meta-llama-3.1-70b-instruct-chk-50,instruction_following,story_generation,combined_score,0.8685897435897435
coding-meta-llama-3.1-70b-instruct-chk-50,language,connections,accuracy,0.38666666666666666
coding-meta-llama-3.1-70b-instruct-chk-50,language,plot_unscrambling,score,0.40633724833761475
coding-meta-llama-3.1-70b-instruct-chk-50,language,typos,accuracy,0.46
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,coding,LCB_generation,pass@1,0.34615384615384615
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,coding,coding_completion,pass@1,0.38
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,instruction_following,story_generation,combined_score,0.8397435897435896
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,language,connections,accuracy,0.4016666666666666
