model,base_family,params_b,params_note,params_source_url,pretrain_tokens,pretrain_tokens_source_url,pretrain_compute_zflops
azerogpt,unknown/closed,,,,,,
chatgpt-4o-latest-2025-01-29,unknown/closed,,,,,,
chatgpt-4o-latest-2025-01-30,unknown/closed,,,,,,
chatgpt-4o-latest-2025-03-27,unknown/closed,,,,,,
claude-3-5-haiku-20241022,unknown/closed,,,,,,
claude-3-5-opus-20240229,unknown/closed,,,,,,
claude-3-5-sonnet-20240620,unknown/closed,,,,,,
claude-3-5-sonnet-20241022,unknown/closed,,,,,,
claude-3-7-sonnet-20250219-base,unknown/closed,,,,,,
claude-3-7-sonnet-20250219-thinking-25k,unknown/closed,,,,,,
claude-3-7-sonnet-20250219-thinking-64k,unknown/closed,,,,,,
claude-3-haiku-20240307,unknown/closed,,,,,,
claude-3-opus-20240229,unknown/closed,,,,,,
claude-3-sonnet-20240229,unknown/closed,,,,,,
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,qwen2.5,72.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,7776.0
coding-meta-llama-3.1-70b-instruct-chk-50,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
command-a-03-2025,unknown/closed,,,,,,
command-r-03-2024,unknown/closed,,,,,,
command-r-08-2024,unknown/closed,,,,,,
command-r-plus-04-2024,unknown/closed,,,,,,
command-r-plus-08-2024,unknown/closed,,,,,,
deepseek-chat,unknown/closed,,,,,,
deepseek-coder,unknown/closed,,,,,,
deepseek-r1,unknown/closed,,,,,,
deepseek-r1-distill-llama-70b,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
deepseek-r1-distill-qwen-32b,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
deepseek-r1-local,unknown/closed,,,,,,
deepseek-r1-local-2,unknown/closed,,,,,,
deepseek-v3,deepseek-v3,37.0,MoE total≈671B; active≈37B,https://huggingface.co/deepseek-ai/DeepSeek-V3,14800000000000.0,https://vitalab.github.io/article/2025/02/11/DeepSeekV3.html,3285.6
deepseek-v3-0324,deepseek-v3,37.0,MoE total≈671B; active≈37B,https://huggingface.co/deepseek-ai/DeepSeek-V3,14800000000000.0,https://vitalab.github.io/article/2025/02/11/DeepSeekV3.html,3285.6
dracarys2-72b-instruct,qwen2.5,72.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,7776.0
dracarys2-llama-3.1-70b-instruct,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
gemini-1.5-flash-001,unknown/closed,,,,,,
gemini-1.5-flash-002,unknown/closed,,,,,,
gemini-1.5-flash-8b-001,unknown/closed,8.0,,,,,
gemini-1.5-flash-8b-exp-0827,unknown/closed,8.0,,,,,
gemini-1.5-flash-8b-exp-0924,unknown/closed,8.0,,,,,
gemini-1.5-flash-exp-0827,unknown/closed,,,,,,
gemini-1.5-pro-001,unknown/closed,,,,,,
gemini-1.5-pro-002,unknown/closed,,,,,,
gemini-1.5-pro-exp-0801,unknown/closed,,,,,,
gemini-1.5-pro-exp-0827,unknown/closed,,,,,,
gemini-2.0-flash,unknown/closed,,,,,,
gemini-2.0-flash-001,unknown/closed,,,,,,
gemini-2.0-flash-exp,unknown/closed,,,,,,
gemini-2.0-flash-lite-001,unknown/closed,,,,,,
gemini-2.0-flash-lite-preview-02-05,unknown/closed,,,,,,
gemini-2.0-flash-thinking-exp-01-21,unknown/closed,,,,,,
gemini-2.0-flash-thinking-exp-1219,unknown/closed,,,,,,
gemini-2.0-pro-exp-02-05,unknown/closed,,,,,,
gemini-2.5-pro-exp-03-25,unknown/closed,,,,,,
gemini-exp-1114,unknown/closed,,,,,,
gemini-exp-1121,unknown/closed,,,,,,
gemini-exp-1206,unknown/closed,,,,,,
gemma-1.1-7b-it,unknown/closed,7.0,,,,,
gemma-2-27b-it,gemma-2-27b,27.0,,,13000000000000.0,https://arxiv.org/html/2408.00118v1,2106.0
gemma-2-9b-it,gemma-2-9b,9.0,,,8000000000000.0,https://arxiv.org/html/2408.00118v1,432.00000000000006
gemma-3-12b-it,gemma-3-12b,12.0,,,12000000000000.0,https://arxiv.org/pdf/2503.19786,864.0000000000001
gemma-3-27b-it,gemma-3-27b,27.0,,,14000000000000.0,https://arxiv.org/pdf/2503.19786,2268.0
gemma-3-4b-it,gemma-3-4b,4.0,,,4000000000000.0,https://ai.google.dev/gemma/docs/core/model_card_3,96.0
gpt-3.5-turbo-0125,unknown/closed,,,,,,
gpt-3.5-turbo-1106,unknown/closed,,,,,,
gpt-4-0125-preview,unknown/closed,,,,,,
gpt-4-0613,unknown/closed,,,,,,
gpt-4-1106-preview,unknown/closed,,,,,,
gpt-4-turbo-2024-04-09,unknown/closed,,,,,,
gpt-4.5-preview-2025-02-27,unknown/closed,,,,,,
gpt-4o-2024-05-13,unknown/closed,,,,,,
gpt-4o-2024-08-06,unknown/closed,,,,,,
gpt-4o-2024-11-20,unknown/closed,,,,,,
gpt-4o-mini-2024-07-18,unknown/closed,,,,,,
grok-2,unknown/closed,,,,,,
grok-2-1212,unknown/closed,,,,,,
grok-2-mini,unknown/closed,,,,,,
grok-3,unknown/closed,,,,,,
grok-3-beta,unknown/closed,,,,,,
grok-3-mini-reasoning-beta,unknown/closed,,,,,,
grok-beta,unknown/closed,,,,,,
hermes-3-llama-3.1-70b,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
hunyuan-turbos-20250313,unknown/closed,,,,,,
lcb-math-qwen2-72b-instructv3-merged-50,qwen2,72.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,3024.0
learnlm-1.5-pro-experimental,unknown/closed,,,,,,
llama-2-7b-chat-hf,llama-2,7.0,,,2000000000000.0,https://arxiv.org/pdf/2307.09288,83.99999999999999
llama-3.1-nemotron-70b-instruct,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
llama-3.3-70b-instruct-turbo,llama-3,70.0,,,15000000000000.0,https://ai.meta.com/blog/meta-llama-3/,6300.0
llama-4-maverick-17b-128e-instruct,unknown/closed,17.0,,,,,
mathstral-7B-v0.1,unknown/closed,7.0,,,,,
meta-llama-3-70b-instruct,llama-3,70.0,,,15000000000000.0,https://ai.meta.com/blog/meta-llama-3/,6300.0
meta-llama-3-8b-instruct,llama-3,8.0,,,15000000000000.0,https://ai.meta.com/blog/meta-llama-3/,720.0
meta-llama-3.1-405b-instruct-turbo,llama-3.1,405.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,36450.0
meta-llama-3.1-70b-instruct-turbo,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
meta-llama-3.1-8b-instruct-turbo,llama-3.1,8.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,720.0
mistral-7b-instruct-v0.2,mistral-7b,7.0,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-large,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-large-2402,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-large-2407,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-large-2411,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-small-2402,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-small-2409,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-small-2501,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mistral-small-2503,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
mixtral-8x22b-instruct-v0.1,mixtral-8x22b,39.1,MoE 8x22B (total≈140.6B; active≈39.1B),https://docs.mistral.ai/getting-started/models/weights/,,https://mistral.ai/news/mixtral-8x22b,
mixtral-8x7b-instruct-v0.1,mixtral-8x7b,12.9,MoE 8x7B (total≈46.7B; active≈12.9B),https://docs.mistral.ai/getting-started/models/weights/,,https://mistral.ai/news/mixtral-of-experts,
o1,unknown/closed,,,,,,
o1-2024-12-17-high,unknown/closed,,,,,,
o1-2024-12-17-low,unknown/closed,,,,,,
o1-2024-12-17-medium,unknown/closed,,,,,,
o1-mini-2024-09-12,unknown/closed,,,,,,
o1-preview-2024-09-12,unknown/closed,,,,,,
o3-mini-2025-01-31-high,unknown/closed,,,,,,
o3-mini-2025-01-31-low,unknown/closed,,,,,,
o3-mini-2025-01-31-medium,unknown/closed,,,,,,
olmo-2-1124-13b-instruct,unknown/closed,13.0,,,,,
open-mistral-nemo,mistral-7b,7.3,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
open-mixtral-8x22b,mixtral-8x22b,39.1,MoE 8x22B (total≈140.6B; active≈39.1B),https://docs.mistral.ai/getting-started/models/weights/,,https://mistral.ai/news/mixtral-8x22b,
open-mixtral-8x7b,mixtral-8x7b,12.9,MoE 8x7B (total≈46.7B; active≈12.9B),https://docs.mistral.ai/getting-started/models/weights/,,https://mistral.ai/news/mixtral-of-experts,
perplexity-sonar-reasoning,unknown/closed,,,,,,
phi-3-medium-4k-instruct,phi-3-medium,,,,4800000000000.0,https://ritvik19.medium.com/papers-explained-130-phi-3-0dfc951dc404,
phi-3-mini-128k-instruct,phi-3-mini,,,,3300000000000.0,https://arxiv.org/pdf/2404.14219,
phi-3-mini-4k-instruct,phi-3-mini,,,,3300000000000.0,https://arxiv.org/pdf/2404.14219,
phi-3-small-8k-instruct,phi-3-small,,,,4800000000000.0,https://ritvik19.medium.com/papers-explained-130-phi-3-0dfc951dc404,
phi-4,unknown/closed,,,,,,
qwen1.5-0.5b-chat,qwen1.5,0.5,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,9.0
qwen1.5-1.8b-chat,qwen1.5,1.8,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,32.4
qwen1.5-110b-chat,qwen1.5,110.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,1980.0
qwen1.5-4b-chat,qwen1.5,4.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,72.0
qwen1.5-72b-chat,qwen1.5,72.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,1296.0
qwen1.5-7b-chat,qwen1.5,7.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,126.0
qwen2-72b-instruct,qwen2,72.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,3024.0
qwen2-math-72b-instruct,qwen2,72.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,3024.0
qwen2.5-72b-instruct-turbo,qwen2.5,72.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,7776.0
qwen2.5-7b-instruct-turbo,qwen2.5,7.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,756.0
qwen2.5-coder-32b-instruct,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
qwen2.5-max,qwen2.5,,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,
qwq-32b,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
qwq-32b-preview,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
reflection-llama-3.1-70b,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
sky-t1-32b-preview,unknown/closed,32.0,,,,,
sonar,unknown/closed,,,,,,
sonar-pro,unknown/closed,,,,,,
starling-lm-7b-beta,unknown/closed,7.0,,,,,
step-2-16k-202411,unknown/closed,,,,,,
vicuna-7b-v1.5,unknown/closed,7.0,,,,,
vicuna-7b-v1.5-16k,unknown/closed,7.0,,,,,
wbot-4:347b_no_s,unknown/closed,347.0,,,,,
yi-6b-chat,yi,6.0,,,3000000000000.0,https://huggingface.co/01-ai/Yi-6B,108.00000000000001
zephyr-7b-alpha,unknown/closed,7.0,,,,,
zephyr-7b-beta,unknown/closed,7.0,,,,,
